alumni,award,hici,ns,pub,teaching,international,research,income,student_staff_ratio,Ranking_Bin
0,0,17.2,11.3,29.7,21.6,70.1,30.6,31.6,21.5,14
0,0,7.1,10.5,27.9,27,41.5,16.5,39.2,15.1,14
0,0,11.3,4.9,38.7,33.7,69.9,36.5,42.6,25.9,14
0,0,10.7,9.3,34,20.2,50.9,27.6,53.9,7.7,14
0,0,7.2,11.9,37.6,19.5,67.1,20.5,72.6,12.7,14
0,0,12.2,10.1,34.1,27.1,81.5,27.7,31.9,20.3,14
0,0,14.3,10.1,24.2,19.7,26.9,24.8,29.2,31.7,14
0,0,12.2,13.2,32.7,24.6,61.4,29.3,41.8,28.3,14
0,0,10.7,5.7,28.8,24.3,44.1,21.6,32.8,17.3,14
0,0,10.1,5.9,24.9,19.5,42.1,15.2,40.4,30.2,14
0,0,5,19.7,26.4,25.1,63.2,28.3,35.9,18.3,14
0,0,17.3,8.5,31,28.5,36,27.5,54.5,18.3,14
0,0,5,5.6,30.9,27.1,40.6,23,45,72.5,14
0,0,6.3,8.2,33,24.3,46.3,21.8,32.1,14.6,14
0,0,8.6,8.8,32.1,35,30.7,40.7,98.2,16.6,14
0,0,5,8.6,27.7,23.5,36,18,61.3,14.4,14
0,0,3.6,9.2,23.9,42.7,21.8,22.9,56.9,3.3,14
0,0,7.2,6.1,17.2,48.2,50.1,46,40.1,16.5,14
7.3,14.9,5,7,32.9,27.6,42.9,26.6,67.8,22.2,14
0,0,8.9,10.7,29.7,35.7,62.5,32.8,75.8,11.6,15
0,0,5.1,11.7,27.9,29.2,76.1,25.1,36.7,18.8,15
12.6,0,5.1,12.9,32.6,39.4,24.8,40.3,49.4,13.5,15
0,0,5.1,8.3,31.4,32.3,67.2,45.3,89.2,12,15
0,31.9,5.1,8.9,28.7,26.3,35.8,20.3,28.7,17,15
0,0,0,2.5,45.6,34.1,33.1,17.4,85.9,14.4,15
0,0,13.3,14.3,29.1,27.9,49.6,25.2,99.8,4.6,15
0,0,0,10.4,33.4,31.8,59.4,31.3,64.5,24.2,15
0,0,18.1,1.5,38.5,31,71.3,32.9,49.8,7.1,15
0,0,13.9,7.4,30.1,35.4,84.7,36.1,34.1,14.9,15
0,0,0,12.2,28.8,43.3,75.9,32.4,64.1,52,15
0,15.4,12.3,14.5,41.3,24.1,46.8,38.2,37,16.4,15
0,0,13.1,7.5,25.3,26.7,70.8,22.2,45.9,22.3,15
0,0,7.2,2.7,36.8,32.6,18.2,39.5,37.9,8.2,15
0,0,18.1,13.1,33.6,24,89.2,24.8,36.2,20,15
15.4,0,0,8.8,29.9,20.8,41.6,13.6,28.5,14.1,16
0,0,11.8,8.6,24.8,27.5,48.6,19.1,37.4,67.8,16
0,0,17.4,9.2,32,25.2,80.4,27.8,44.7,25.4,16
0,0,12.2,3.6,23.7,22.1,88.8,21.4,31.9,17.6,16
0,0,20.1,22.9,36,35.1,59.4,30.7,38.3,17.5,16
0,0,12.1,11.4,22.2,30.5,57,33.4,52.5,59.1,16
0,0,11.1,5.6,33,26.5,70.6,29.9,75.6,21.9,16
0,0,0,14.1,29.1,33.9,53,27.6,46.3,25.6,17
0,0,11.2,4.6,30.4,23.8,65.8,28.5,43.9,15.9,18
18.5,18.8,13,24.4,37.9,38,56.7,28.1,81.4,31.2,18
0,0,0,8.6,35.4,20.1,71.8,20.6,30.6,30.4,18
7.3,9.4,0,6.2,19.9,23.7,64.8,17.3,30.2,26.8,19
5.1,0,15.9,13.9,17.5,29.1,20.7,13.7,34.4,15.2,19
0,0,12.2,5.5,26.8,24.3,61.1,24.5,30.7,29.8,19
0,0,8.7,12,37.1,20.1,91.3,17.1,36.1,17.1,19
0,0,8.3,14.1,38.8,63.5,34.9,63.2,100,10,20
0,0,34.3,22.7,49.5,46.2,49.1,51.9,49.6,21.4,20
0,0,0,3.3,34.6,29.9,69.8,36,71.9,35.8,20
19.2,0,8.6,1.5,20.7,31.6,86.7,29,29.1,19.8,20
0,15.4,5.1,6.7,15.3,25.7,39.6,35,49.3,18.5,20
0,0,3.6,10.3,26.7,27.6,47.2,24,40.2,15.2,21
0,0,11.3,10.7,22.3,20.2,86.9,16.3,38.8,36.5,21
15.4,0,3.6,0,29.1,28.7,19.4,34.7,86.2,18.7,21
10.3,18.8,34.5,24.8,44.6,40.5,34.3,45.3,35.2,17.3,22
13.6,0,10.1,11.9,41,28.6,87.3,33.4,74.2,18.9,22
13.6,24.9,0,3.6,7.8,39.6,58.7,23.2,99,5.6,23
0,0,12.3,2.3,26.5,26.4,24.2,32.9,47,19.6,24
0,0,8.1,8,25.2,32.4,41.2,24.4,40.6,15.9,24
0,0,14.3,3.9,28.5,27.8,86.9,32.5,40.1,44.1,24
0,0,15.9,14.5,39.7,28.4,49,15.3,46.8,53.9,24
19.9,25.3,23.7,29.4,51.7,52.6,63.1,45.4,41.6,24.5,25
