quality_of_education,alumni_employment,quality_of_faculty,publications,influence,alumni,award,hici,ns,pub,Ranking_Bin
286,186,109,151,178,0,0,20.1,17.1,39.3,8
58,249,65,153,107,15.4,19.8,17.4,21.1,39.8,8
206,567,179,349,211,13.6,0,19.2,15.6,28.3,8
367,567,218,258,139,0,0,14.6,18.5,31,8
192,56,218,301,227,11.5,0,6.3,12,35.5,8
321,218,143,178,153,0,16.3,13.6,17.8,39.2,9
15,164,15,120,97,32,28.2,19.6,21.5,37.6,9
367,166,218,259,764,0,0,11.3,4.9,38.7,9
367,194,218,183,283,0,0,8.7,8.7,50.7,9
367,222,218,192,159,0,0,12.2,15.2,37.6,9
45,180,55,186,221,23.5,37.6,15.2,18.3,33.3,9
173,110,69,236,214,19.9,26.6,11.3,11.8,32.7,9
367,226,218,61,108,0,0,15.1,11.7,51.6,9
367,567,218,229,201,0,0,10.7,16.5,36.7,9
178,567,218,354,200,0,0,16.8,16.9,24.5,9
367,541,218,126,196,0,0,21,14.5,43.7,9
197,397,112,430,222,0,9.4,14.8,18.6,24.1,9
258,63,218,400,347,0,0,14.3,8.4,26.7,9
297,71,218,59,186,0,0,12.2,12.1,72,9
71,567,49,191,145,25.1,28.8,15.9,19,34.6,9
367,159,218,250,151,0,0,10.1,11.8,27.6,9
367,443,218,395,286,0,0,5,10.9,25.1,9
367,511,218,343,511,0,0,5.1,8.3,31.4,9
265,83,218,249,244,0,0,14.9,7.5,25,9
367,45,218,140,326,0,0,8.6,4.9,52.1,9
367,567,218,144,220,0,0,5,12.9,44.5,10
367,236,218,497,676,0,0,12.2,3.6,23.7,10
367,538,218,479,739,0,0,12.2,5.5,26.8,10
367,104,218,313,667,0,0,12.2,13.1,34.3,10
292,273,218,207,270,0,0,15,8.6,36.7,10
341,467,218,794,769,13.6,24.9,0,3.6,7.8,10
39,322,53,138,140,29,25.3,16.8,17.7,44.3,10
137,142,218,402,346,12.6,0,13.9,12,22.1,10
367,567,218,284,303,0,0,12.2,13.2,32.7,10
367,567,218,774,632,0,15.4,5.1,6.7,15.3,10
85,271,218,360,412,16.2,0,7.8,7.4,29.1,10
241,112,218,288,285,0,0,10.7,9.7,34.1,10
367,123,218,145,180,0,0,13.8,13.6,44.6,10
367,567,218,303,449,0,15.4,12.3,14.5,41.3,10
193,487,198,232,183,10.3,13.3,13.8,13.7,29.7,10
367,567,218,475,337,0,0,12.1,11.4,22.2,10
367,567,218,390,305,0,0,5,5.6,30.9,10
367,543,218,580,668,0,0,14.3,3.9,28.5,10
363,350,218,377,377,0,0,0,12.2,28.8,10
367,224,218,336,403,0,0,0,10.4,33.4,11
367,567,218,251,228,8.9,9.4,8.6,9.3,33.4,11
342,362,218,134,358,0,0,0.7,9.3,53.7,11
262,520,218,238,425,12.6,0,5.1,12.9,32.6,11
322,155,218,254,274,0,0,13.1,11.9,32.6,11
183,387,218,306,276,17.8,0,0,10.1,31.4,11
146,567,218,393,268,0,0,13.3,14.3,29.1,11
367,567,218,466,289,0,0,0,14.1,29.1,11
367,435,153,448,213,0,0,20.1,22.9,36,11
367,567,218,223,170,0,0,14.9,16.8,36,11
367,567,218,408,496,0,0,11.1,5.6,33,11
367,377,218,312,353,0,0,12.2,10.1,34.1,11
295,380,214,330,381,0,0,5,5.7,30.7,11
367,418,218,233,251,0,0,16.3,10.4,40.2,11
61,32,172,442,237,18.5,0,7.1,15.8,33,11
315,450,163,206,278,15.4,0,16.2,8.5,40,11
367,124,218,190,333,0,0,14.6,13.8,42.2,11
361,311,218,367,426,0,0,8.9,10.7,29.7,12
211,493,148,244,203,0,0,20.3,14.2,36.2,12
367,332,218,315,537,0,0,7.2,2.7,36.8,12
367,206,218,240,651,0,0,8.6,8.8,32.1,12
252,119,75,279,366,13.6,21,10.1,12.9,36.4,12
367,567,218,477,750,0,0,0,3.3,34.6,12
335,143,218,81,267,0,0,12.6,10.6,68.5,12
367,66,218,520,503,0,0,5,5.3,31.2,12
367,567,218,473,352,0,0,3.6,9.2,23.9,12
367,430,218,426,431,0,0,13.1,7.5,25.3,12
350,348,218,136,281,0,0,13.8,10,48.1,12
188,86,218,150,171,0,0,22.6,9.2,37.9,12
161,567,218,857,833,0,0,15.9,14.5,39.7,12
93,188,172,181,132,0,0,20.6,16.7,42.1,12
162,441,182,118,189,17,0,14.2,9.6,46.3,12
165,207,218,278,262,17,0,16.8,11.6,33.4,12
367,299,185,262,367,0,0,16.8,8.4,35.9,12
367,269,218,431,433,0,0,17.4,9.2,32,12
283,152,218,201,264,11.5,0,11.4,11.4,40.9,12
367,460,218,225,256,0,0,11.3,9.9,39.3,13
367,424,218,502,647,0,0,0,8.6,35.4,13
367,233,218,362,338,0,0,12.3,10.3,29.5,13
130,229,218,373,320,0,0,7.1,10.5,27.9,13
95,240,116,368,271,14.5,0,5.1,11.5,30.8,13
367,304,218,391,292,0,0,18.1,13.1,33.6,13
189,239,218,263,148,10.3,0,23,21.2,34.7,13
103,181,191,358,510,7.3,14.9,5,7,32.9,13
248,204,218,467,302,0,0,14.3,10.1,24.2,13
67,205,45,83,166,11.5,13.3,5.1,12.1,52,13
116,567,218,563,950,15.4,0,3.6,0,29.1,13
367,254,218,161,393,0,0,8.7,9.9,54.9,13
324,144,218,365,299,0,0,12.2,8.7,26.1,13
367,368,218,388,378,0,0,5.1,11.7,27.9,13
296,259,218,168,193,11.5,0,8,8.6,35,13
367,498,218,287,282,0,0,8.6,9.7,30.6,13
119,358,218,694,695,19.2,0,8.6,1.5,20.7,13
367,42,218,310,257,0,0,17.3,13.4,35.9,13
367,525,218,456,443,0,0,3.6,10.3,26.7,13
228,91,218,212,161,11.5,0,11.3,14.1,39.2,13
157,93,155,261,308,0,0,8.1,8,34.5,13
353,567,218,713,315,5.1,0,15.9,13.9,17.5,13
367,150,218,383,240,0,0,5.1,10,28,13
281,567,218,99,105,0,0,11.3,16.1,48.2,13
273,473,218,227,360,13.6,23.1,7.2,6.5,37,13
367,567,218,386,327,0,0,7.2,11.9,37.6,13
82,172,218,399,369,18.5,0,10.1,12.2,26.7,13
202,567,107,230,255,0,19.6,5.8,10.4,34.7,13
367,470,218,208,348,0,0,8.6,7.6,41.1,13
118,562,150,409,462,15.4,0,0,8.8,29.9,13
367,183,218,189,258,0,0,3.6,9.3,38.1,13
367,309,218,71,290,0,0,7.1,13.5,68.5,13
367,439,218,596,660,0,0,11.2,4.6,30.4,14
367,567,218,480,375,0,0,11.8,8.6,24.8,14
367,567,218,132,121,10.3,0,0,18.8,40.2,14
367,559,218,425,384,0,0,8.7,12,37.1,14
367,567,218,462,509,0,0,5,8.6,27.7,14
367,567,98,450,371,0,31.9,5.1,8.9,28.7,14
367,168,218,286,471,0,0,0,6.9,40.5,14
279,277,135,148,173,11.5,16.3,7.2,15.6,42.2,14
367,49,218,152,182,0,0,13.1,12.3,44.2,14
367,237,218,323,401,0,0,10.7,9.3,34,14
367,52,218,164,485,0,0,10.1,4.9,40.7,14
367,567,218,461,950,0,0,12.3,2.3,26.5,14
367,567,218,654,456,0,0,11.3,10.7,22.3,14
367,567,218,275,198,0,0,12.2,10.4,33.7,14
367,567,218,374,388,0,0,10.7,5.7,28.8,14
367,567,218,416,392,0,0,10.1,5.9,24.9,14
327,326,94,218,275,0,0,15.2,10.1,38.8,14
349,453,204,571,547,7.3,9.4,0,6.2,19.9,14
143,567,144,317,218,7.3,0,10.1,13.5,30.8,14
337,465,152,155,296,0,8.1,5,12.5,45,14
250,88,98,222,226,8.9,0,3.6,12.5,38.1,14
367,531,218,320,319,0,0,6.3,8.2,33,14
198,256,218,357,288,13.6,0,12.2,11.4,26.6,14
110,567,218,294,301,13.6,0,5,10,31.3,14
367,301,131,334,234,0,0,17.3,8.5,31,14
367,258,218,274,612,0,0,0,2.5,45.6,14
