,,WorldUniversity,,,,,,,Shanghai,,,,,,,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,University,world_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,,world_rank,alumni,award,hici,ns,pub,,world_rank,teaching,international,research,income,student_staff_ratio,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Kyushu University,100,367,49,218,152,182,,201-300,0,0,13.1,12.3,44.2,,351-400,36.5,26.1,28.5,68.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Technical University of Munich,101,37,118,177,104,90,,51,34.8,21.6,22.3,23.2,48.3,,98,45.6,64,37.4,49,31.5,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of Queensland,103,269,292,142,65,78,,77,12.6,0,22,24,63.2,,65,45.8,80.4,58.4,66.2,32.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,Case Western Reserve University,105,50,215,195,137,106,,101-150,30.3,10.9,15.9,19,39.7,,116,46.5,34.4,37.4,-,6.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,Indiana University - Bloomington,106,134,35,178,180,143,,101-150,10.3,21.6,18.5,21.9,39.6,,150,46.5,37.1,35.1,-,13.6,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of Alberta,107,169,151,153,62,109,,101-150,11.5,0,23.9,19.2,54.2,,124,43.8,73.4,47.1,51.8,21.6,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Leiden University,108,120,567,102,82,94,,82,17.8,9.4,25.7,22,46.9,,64,45,59.5,58.2,47.3,17.1,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Tokyo Institute of Technology,109,170,50,128,169,169,,151-200,12.6,0,15.9,15.3,37.8,,141,53.5,37,52.9,69.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,University of Groningen,110,313,193,196,64,96,,75,0,18.8,23,21,52.6,,117,36.9,56.1,50.8,88.9,25.6,,,,,,,,,,,,,,,,,,,,,,,,
Finland,University of Helsinki,111,56,551,111,80,79,,67,12.6,16.3,25.2,22.4,51.8,,103,37.5,49.7,48.1,31.5,15.1,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Sapienza University of Rome,112,67,205,45,83,166,,151-200,11.5,13.3,5.1,12.1,52,,301-350,32.3,37.5,28.1,34.2,32.3,,,,,,,,,,,,,,,,,,,,,,,,
USA,Georgetown University,113,159,34,218,298,321,,301-400,0,0,11.1,7.5,31.7,,173,51.1,43.3,28.2,80,8.5,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,University of Amsterdam,114,109,317,212,70,88,,101-150,5.1,0,20.8,18.8,53.3,,77,42,60.5,55.4,56.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,
Spain,University of Barcelona,116,367,226,218,61,108,,151-200,0,0,15.1,11.7,51.6,,201-225,28.4,47.8,28.8,31,12.2,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Lund University,117,136,466,169,85,135,,101-150,21.2,0,22.5,16.3,49.7,,119,32.6,70.1,48.5,32.6,11.5,,,,,,,,,,,,,,,,,,,,,,,,
USA,Michigan State University,118,112,162,218,88,123,,99,8.9,0,30.7,21.8,50.6,,82,51.1,55,49.4,31.7,15.7,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Ghent University,119,123,329,147,84,149,,71,5.1,13.3,26.9,18.3,57.5,,90,42.5,49.1,51.6,85.3,34.1,,,,,,,,,,,,,,,,,,,,,,,,
USA,Rice University,120,52,161,95,255,150,,84,16.2,21.7,28.1,22.8,29.2,,69,41.7,70.8,37.1,34.6,9,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Aarhus University,122,310,165,106,91,81,,73,11.5,22.1,12.3,25.8,51.8,,153,30.9,66.3,47.5,59.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Bristol,123,194,196,74,92,69,,66,7.3,16.3,25.7,32.4,45.5,,74,43.7,76.6,44.7,42.1,14,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Uppsala University,124,73,321,70,95,75,,61,17.8,27.4,18.4,24.6,49.8,,98,40.2,57.5,53,39.6,18.2,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Nagoya University,125,39,322,53,138,140,,77,29,25.3,16.8,17.7,44.3,,226-250,37.5,31.8,31.8,86.3,7.9,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Glasgow,128,234,89,218,123,144,,101-150,7.3,0,24.9,18.5,42.1,,94,37,78.8,40.5,39.9,16,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,VU University Amsterdam,129,367,385,218,79,120,,98,0,0,27.8,18,55.5,,136,35.5,50.6,43.2,60,16.3,,,,,,,,,,,,,,,,,,,,,,,,
Australia,University of New South Wales,130,177,70,218,90,177,,101-150,0,0,20.2,17.8,58.6,,109,41.1,83.5,51.9,47.8,25.9,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,University of São Paulo,132,297,71,218,59,186,,101-150,0,0,12.2,12.1,72,,201-225,51.6,25.3,51.6,40.1,14.6,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Radboud University Nijmegen,134,128,274,218,89,119,,101-150,16.2,0,12.3,19.3,50.4,,140,30.5,61.6,46.7,42.8,13,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Nanyang Technological University,135,367,567,218,102,361,,151-200,0,0,11.2,10.5,50.5,,61,43.9,92.5,55.9,100,16.2,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Technion – Israel Institute of Technology,136,45,180,55,186,221,,77,23.5,37.6,15.2,18.3,33.3,,201-225,36.9,60.6,37.5,36.5,19.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Miami,137,367,241,218,159,130,,151-200,0,0,22,14.7,39.5,,169,42.7,56.7,27.2,-,5.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,Stony Brook University,138,186,567,58,173,84,,201-300,0,0,14.8,18.4,36,,188,32.8,60.5,24.4,31.3,10.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Texas at Dallas,139,367,159,218,250,151,,301-400,0,0,10.1,11.8,27.6,,201-225,26,55.4,28.2,41.6,22.8,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Nottingham,140,131,109,84,116,176,,101-150,11.5,20,19.1,15.9,45.9,,171,39.9,70.6,35.8,39.6,15,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Iowa,141,233,296,167,103,83,,151-200,0,0,20.3,18.8,44.7,,175,41.9,31.7,33.5,49.3,11.6,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Korea Advanced Institute of Science and Technology (KAIST),144,367,194,218,183,283,,201-300,0,0,8.7,8.7,50.7,,201-225,48.9,35.9,44.3,98.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Monash University,145,277,145,218,86,136,,101-150,0,0,18.4,22.6,58.6,,83,43.7,79.6,54.4,73.4,40.5,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Southampton,148,329,95,218,115,133,,101-150,0,0,24.6,19.5,46.2,,132,35.2,82.4,34.1,38.9,13.5,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,University of the Witwatersrand,149,61,32,172,442,237,,201-300,18.5,0,7.1,15.8,33,,251-275,22.3,66.3,21.7,94.8,18.6,,,,,,,,,,,,,,,,,,,,,,,,
Canada,McMaster University,150,222,268,163,127,156,,96,12.6,18.8,23.2,15.1,44.5,,94,38.1,69.4,43.2,85,19.3,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of Montreal,151,320,376,218,101,111,,101-150,11.5,0,17.2,17.3,50.6,,113,43.8,76.7,44.4,91.8,20.3,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Birmingham,152,65,158,205,117,165,,101-150,18.5,9.4,20.8,12.7,44.7,,148,42.8,75.8,39.8,36,16.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of California, Santa Cruz",154,175,567,100,243,49,,93,0,0,37.9,33.9,29,,109,30.6,54.6,31.9,33.8,22.7,,,,,,,,,,,,,,,,,,,,,,,,
