,,WorldUniversity,,,,,,,Shanghai,,,,,,,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,University,world_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,,world_rank,alumni,award,hici,ns,pub,,world_rank,teaching,international,research,income,student_staff_ratio,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Aalborg University,565,367,439,218,596,660,,301-400,0,0,11.2,4.6,30.4,,351-400,23.8,65.8,28.5,43.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,University of Fribourg,573,232,252,218,734,428,,101-150,18.5,18.8,13,24.4,37.9,,163,38,56.7,28.1,81.4,31.2,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Deakin University,579,367,424,218,502,647,,301-400,0,0,0,8.6,35.4,,301-350,20.1,71.8,20.6,30.6,30.4,,,,,,,,,,,,,,,,,,,,,,,,
Austria,University of Graz,584,349,453,204,571,547,,401-500,7.3,9.4,0,6.2,19.9,,351-400,23.7,64.8,17.3,30.2,26.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Montana - Missoula,585,353,567,218,713,315,,301-400,5.1,0,15.9,13.9,17.5,,301-350,29.1,20.7,13.7,34.4,15.2,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Carleton University,593,367,538,218,479,739,,401-500,0,0,12.2,5.5,26.8,,226-250,24.3,61.1,24.5,30.7,29.8,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Curtin University,595,367,559,218,425,384,,201-300,0,0,8.7,12,37.1,,351-400,20.1,91.3,17.1,36.1,17.1,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Konkuk University,602,367,388,218,533,748,,201-300,0,0,8.3,14.1,38.8,,52,63.5,34.9,63.2,100,10,,,,,,,,,,,,,,,,,,,,,,,,
USA,Texas A&M Health Science Center,616,367,567,218,672,440,,100,0,0,34.3,22.7,49.5,,141,46.2,49.1,51.9,49.6,21.4,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Queensland University of Technology,621,367,567,218,477,750,,401-500,0,0,0,3.3,34.6,,276-300,29.9,69.8,36,71.9,35.8,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Essex,632,119,358,218,694,695,,401-500,19.2,0,8.6,1.5,20.7,,301-350,31.6,86.7,29,29.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,State University of New York Upstate Medical University,635,367,567,218,774,632,,401-500,0,15.4,5.1,6.7,15.3,,226-250,25.7,39.6,35,-,18.5,,,,,,,,,,,,,,,,,,,,,,,,
Finland,University of Jyväskylä,671,367,525,218,456,443,,401-500,0,0,3.6,10.3,26.7,,301-350,27.6,47.2,24,-,15.2,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Swinburne University of Technology,688,367,567,218,654,456,,301-400,0,0,11.3,10.7,22.3,,351-400,20.2,86.9,16.3,38.8,36.5,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Sharif University of Technology,697,116,567,218,563,950,,401-500,15.4,0,3.6,0,29.1,,301-350,28.7,19.4,34.7,86.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,
USA,"Rutgers, The State University of New Jersey - Newark",723,367,567,218,832,515,,64,10.3,18.8,34.5,24.8,44.6,,144,40.5,34.3,45.3,35.2,17.3,,,,,,,,,,,,,,,,,,,,,,,,
Germany,University of Augsburg,739,367,567,218,816,684,,201-301,13.6,0,10.1,11.9,41,,175,28.6,87.3,33.4,74.2,18.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,Michigan Technological University,790,341,467,218,794,769,,401-500,13.6,24.9,0,3.6,7.8,,226-250,39.6,58.7,23.2,99,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,National Sun Yat-sen University,803,367,567,218,461,950,,401-500,0,0,12.3,2.3,26.5,,351-400,26.4,24.2,32.9,47,19.6,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Taipei Medical University,807,367,567,218,499,883,,401-500,0,0,8.1,8,25.2,,177,32.4,41.2,24.4,40.6,15.9,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"University of Technology, Sydney",815,367,543,218,580,668,,301-400,0,0,14.3,3.9,28.5,,226-250,27.8,86.9,32.5,40.1,44.1,,,,,,,,,,,,,,,,,,,,,,,,
Japan,University of Electro-Communications,840,161,567,218,857,833,,201-300,0,0,15.9,14.5,39.7,,276-300,28.4,49,15.3,46.8,53.9,,,,,,,,,,,,,,,,,,,,,,,,
China,Hefei University of Technology,883,367,302,218,914,974,,46,19.9,25.3,23.7,29.4,51.7,,70,52.6,63.1,45.4,41.6,24.5,,,,,,,,,,,,,,,,,,,,,,,,
