quality_of_education,alumni_employment,quality_of_faculty,publications,influence,teaching,international,research,income,student_staff_ratio,Ranking_Bin
102,423,218,235,101,29.4,85.1,39.9,50.9,13.1,7
35,191,42,122,77,34.5,96.8,37.2,65.1,15,3
232,252,218,734,428,38,56.7,28.1,81.4,31.2,5
83,363,60,167,100,41.2,91.2,41.1,97.7,17.3,4
367,567,218,499,883,32.4,41.2,24.4,40.6,15.9,9
92,25,218,46,223,48.8,27.5,57.3,43.8,11.9,6
367,567,218,461,950,26.4,24.2,32.9,47,19.6,9
262,520,218,238,425,39.4,24.8,40.3,49.4,13.5,7
367,206,218,240,651,35,30.7,40.7,98.2,16.6,8
367,52,218,164,485,31.8,26.7,40.1,100,14.4,8
119,358,218,694,695,31.6,86.7,29,29.1,19.8,9
206,567,179,349,211,25.2,76.5,22.6,29.2,14.7,7
151,257,57,359,250,31.9,83.6,30.4,31.2,17.4,6
367,236,218,497,676,22.1,88.8,21.4,31.9,17.6,9
367,567,218,270,205,32.2,75,33.8,32.2,17.5,7
367,360,218,364,398,35.4,84.7,36.1,34.1,14.9,8
321,218,143,178,153,30.5,69.3,30.4,34.8,13.1,6
367,567,218,258,139,29.8,83.9,31.6,34.8,13.4,7
132,267,116,248,199,37.2,80.4,40.7,34.8,15.7,7
258,63,218,400,347,32.8,75,34,34.9,14.8,8
367,222,218,192,159,30.3,73.8,29.6,35,15.2,7
210,444,116,205,239,41.1,85.7,45.8,35.6,16.6,4
264,481,218,293,174,32,79.8,32.7,35.8,18.8,6
65,158,205,117,165,42.8,75.8,39.8,36,16.4,5
367,368,218,388,378,29.2,76.1,25.1,36.7,18.8,9
147,319,218,226,175,32.4,88.6,32.9,37.1,14,6
329,95,218,115,133,35.2,82.4,34.1,38.9,13.5,5
27,190,114,76,116,55.6,87,62.3,39,11.4,3
99,92,72,43,70,58.1,82,58.7,39.4,15.3,2
62,157,218,133,141,39.4,67.6,39.1,39.4,14.7,5
131,109,84,116,176,39.9,70.6,35.8,39.6,15,5
145,506,218,308,188,35.7,90.5,35.9,39.8,12.7,8
234,89,218,123,144,37,78.8,40.5,39.9,16,5
176,179,207,154,172,31.3,79.5,33.2,40,13.6,5
78,65,91,503,739,65.4,87.4,74.2,40.6,17.5,5
44,127,33,54,37,58.9,84.3,62.9,41.2,14.1,2
194,196,74,92,69,43.7,76.6,44.7,42.1,14,3
183,387,218,306,276,30.1,88.6,25.1,43.7,17.9,8
142,209,196,129,137,40,74.8,39.1,43.8,15.5,5
178,567,218,354,200,24.4,64.5,22.5,47.7,15.3,7
2,10,5,11,6,89.7,87.8,95.6,51.1,11.8,1
7,13,10,7,12,88.6,90.7,97.7,72.9,11.6,1
367,567,98,450,371,26.3,35.8,20.3,28.7,17,6
248,204,218,467,302,19.7,26.9,24.8,29.2,31.7,8
192,56,218,301,227,44.6,39.9,25.1,29.3,12,7
32,22,18,47,29,68.3,41.2,62.4,30.2,6.8,2
303,54,83,60,45,56.4,47.8,46.7,30.3,8.6,3
93,188,172,181,132,39.7,35.3,28.9,31.1,19.9,6
296,259,218,168,193,37.6,38.8,27.1,31.1,13,8
250,88,98,222,226,31.7,29.6,22,31.2,14.1,8
186,567,58,173,84,32.8,60.5,24.4,31.3,10.9,7
112,162,218,88,123,51.1,55,49.4,31.7,15.7,4
367,299,185,262,367,34.5,37.3,27.5,31.8,16.3,7
